ID,Number of Quantities,Number of Insignificant Quantities,Size,Total Number of Words,Total Number of Characters,Number of Special Characters,Number of Sentences,First Index,Second Index,Difficulty,Score,Class
0,2,0,Medium,19,68,3,3,2,7,1.26166000108657,133,0
1,2,0,Medium,20,66,3,3,2,7,1.44296997784168,59,3
2,2,0,Medium,20,87,3,3,2,10,8.31096867770419,79,0
3,2,0,?,21,73,3,3,2,8,9.43591274696865,43,0
4,2,0,Medium,16,53,3,3,2,7,1.16976754958987,18,4
5,2,0,Medium,18,64,3,3,2,7,1.30438968541013,77,4
6,2,0,Medium,29,107,3,3,2,12,9.36134264237705,40,3
7,3,1,Medium,24,91,4,4,2,8,6.36119256187899,84,0
8,2,0,Medium,24,80,2,2,4,8,3.88717314879655,96,2
9,2,0,Medium,16,61,1,1,3,6,1.5436706211848,5,5
10,2,0,Medium,51,207,4,4,17,28,4.29033910012332,121,0
11,2,0,Small,16,54,3,3,2,7,5.07117898886042,3,1
12,2,0,Medium,21,62,2,2,7,18,5.85881953091469,372,2
13,2,0,Medium,20,76,2,2,2,11,2.62763488849171,1,5
14,2,0,Medium,21,81,3,3,3,8,0.927999192664675,54,0
15,2,0,Small,35,123,?,4,9,23,3.22780449249118,2,5
16,2,0,Big,34,120,4,4,7,21,0.103176988333321,28,3
17,2,0,Big,20,79,2,2,2,16,0.600475854447282,49,3
18,2,0,Medium,35,123,4,4,9,23,?,2,5
19,2,0,Small,33,123,3,3,5,12,8.03387927126492,25,2
20,2,0,Medium,31,109,3,3,6,10,5.13590051072527,9,5
21,2,0,Medium,36,133,4,4,13,24,1.16075353202747,300,2
22,2,0,Medium,22,78,2,2,2,11,2.20506693274144,6,5
23,2,?,Big,25,100,3,3,11,15,7.03116488932291,3,5
24,3,1,Medium,39,144,3,3,2,18,6.03834879601427,5,5
25,2,0,Medium,?,97,3,3,2,11,3.38382503488263,83,4
26,2,0,Medium,22,68,2,2,4,17,0.826325183059678,280,2
27,2,0,Small,18,58,2,2,2,15,7.38352441877151,54,2
28,3,1,Medium,23,80,4,4,2,7,3.23463418072582,13,4
29,2,0,Medium,22,74,2,2,2,15,8.24275089868139,13,3
30,2,0,Medium,19,79,3,3,3,8,6.55061799648484,71,3
31,2,0,Medium,30,116,4,4,2,17,6.12091583202552,22,3
32,2,0,Medium,20,76,2,2,2,11,1.86103218591611,1,5
33,2,0,Small,17,55,3,3,2,5,9.89282182692247,7,0
34,3,1,Small,29,89,4,4,2,8,3.50033707445688,9,0
35,2,0,Medium,22,81,3,3,3,11,0.000358300744194,3,5
36,2,0,Big,43,165,5,5,11,28,7.81812854461015,66018,0
37,3,1,Medium,37,117,4,4,2,18,2.6728442377967,13,0
38,3,1,Small,30,109,4,4,2,10,7.12268956352338,40,2
39,2,0,Medium,29,109,2,2,5,13,0.734606512807555,17,0
40,2,0,Small,22,69,2,2,2,7,4.74485543306102,32,2
41,2,0,Medium,17,59,3,3,2,7,1.56137955095923,8,4
42,2,0,Small,16,46,2,2,2,13,6.35171704573181,6,2
43,2,0,Medium,23,89,2,2,2,5,5.58887449929749,97,0
44,2,0,Medium,30,110,3,3,7,14,9.9040477134382,84,2
45,2,0,Medium,21,74,2,2,4,14,3.71154281496966,63,2
46,2,0,Small,12,42,3,3,3,8,6.37102261625774,20,2
47,2,0,Medium,30,109,3,3,3,12,4.67547389281148,77,0
48,2,0,Medium,21,76,3,3,3,8,0.637232080127587,38,0
49,3,1,Medium,39,136,3,3,2,18,4.45373227871305,5,5
50,2,0,Medium,20,84,3,3,3,9,9.2120717934002,97,0
51,2,0,Big,16,60,1,1,3,13,4.74970455672511,2448,2
52,2,0,Medium,21,75,3,3,2,7,2.10388126112462,69,0
53,2,0,Medium,19,68,3,3,2,5,1.75808454013511,26,3
54,3,1,Small,30,105,4,4,2,7,8.84345486292682,12,0
55,2,0,Medium,20,67,2,2,3,6,0.994712830511185,780,2
56,2,0,Medium,26,88,3,3,2,9,1.40865018329507,36,0
57,2,0,Medium,27,111,2,2,2,8,1.51921383611388,9,5
58,2,0,Medium,26,85,3,3,2,10,0.265019582977519,48,0
59,2,0,Medium,20,80,3,3,4,9,8.52904736026564,12,5
60,2,0,Small,35,117,4,4,9,23,8.57667663368129,5,5
61,?,0,Medium,35,108,4,4,9,23,6.64826906631208,2,5
62,2,0,Medium,16,70,2,2,2,5,5.89362781926234,10,5
63,2,0,Medium,20,74,3,3,3,9,3.00772250218683,99,0
64,2,0,Medium,35,119,4,4,9,23,1.63751190917527,7,5
65,2,0,Medium,20,72,3,3,3,8,2.11626701323608,23,4
66,2,0,Medium,27,109,2,2,2,8,1.62126764253822,6,5
67,2,0,Big,27,91,4,4,7,14,7.87336275658878,776,0
68,2,0,Small,26,89,1,1,3,12,2.64609831634174,14,0
69,2,0,Medium,23,93,3,3,3,9,4.97905491410279,93,0
70,2,0,Medium,18,74,3,3,2,7,1.60581861387501,50,3
71,2,0,Medium,27,94,3,3,0,8,9.03397660848585,35,0
72,2,0,Small,18,71,3,3,2,7,0.224230394445105,7,3
73,2,0,Medium,14,48,2,2,3,11,3.36635705039722,264,2
74,2,0,Medium,21,71,3,3,2,8,5.94771411212274,47,0
75,2,0,Big,20,81,2,2,2,10,0.059343022686911,80,5
76,3,1,Medium,24,92,4,4,2,8,7.60221149800021,81,0
77,2,0,Small,14,36,2,2,3,10,2.37478227956916,48,2
78,2,0,Medium,23,83,1,1,3,11,3.01267028681444,85,0
79,2,0,Medium,20,77,3,3,2,8,0.723688045837692,168,2
80,2,0,Small,30,105,2,2,3,12,1.18573660544947,8,2
81,2,0,Medium,31,96,4,4,12,19,7.12649873076889,31,4
82,2,0,Medium,20,76,3,3,2,8,3.76434651989733,105,0
83,2,0,Medium,19,74,3,3,2,5,3.74736308356234,11,1
84,2,0,Medium,27,111,2,2,2,8,3.54264441352535,9,5
85,3,1,Small,28,90,3,3,2,10,5.57823329846685,15,2
86,3,1,Medium,34,109,4,4,2,10,8.09063666317211,0,3
87,2,0,Medium,21,75,3,3,2,10,5.48635572122466,9,4
88,2,0,Small,24,72,3,3,4,11,8.9177307564761,32,2
89,2,0,Medium,17,66,3,3,2,7,2.06465404679535,51,3
90,2,0,Medium,42,150,4,4,0,23,0.234784411302797,14,3
91,2,0,Medium,29,98,7,7,4,12,0.74565217620636,34,4
92,3,1,Medium,24,94,2,2,2,5,1.60223898733971,4,5
93,2,0,Medium,35,123,4,4,9,23,7.80947862520167,2,5
94,2,0,Small,31,112,3,3,5,12,8.47969032867144,20,2
95,3,1,Medium,25,92,4,4,2,10,2.23333440168763,70,0
96,3,1,Medium,28,108,4,4,2,7,6.44435930310823,12,0
97,2,0,Medium,27,93,3,3,2,14,2.19028925586726,20,0
98,2,0,Medium,20,83,3,3,2,8,3.2368101623666,88,0
99,2,0,Medium,21,74,3,3,2,7,8.15266056695427,629,2
100,2,0,Big,18,67,2,2,2,15,7.95328132866105,1200,2
101,2,0,Medium,24,95,2,2,2,16,5.38320951372591,6,5
102,2,0,Small,17,59,3,3,2,5,6.6327122083681,16,0
103,3,1,Medium,45,154,5,5,10,16,9.51814121366857,46,3
104,2,0,Small,23,78,4,4,4,10,8.58086312260524,16,2
105,2,0,Medium,24,71,3,3,9,13,4.08243400921137,22,0
106,2,0,Medium,21,78,3,3,2,8,9.91626238417947,113,0
107,2,0,Small,20,72,2,2,2,8,5.50372825253719,2,3
108,2,0,Medium,16,75,1,1,3,6,2.4768759794045,8,5
109,2,0,Medium,21,74,3,3,2,7,9.72294088856526,57,0
110,2,0,Small,19,70,2,2,3,9,8.38320275268743,18,2
111,2,0,Big,30,103,2,2,2,17,4.61252821851346,30,5
112,2,0,Medium,16,70,2,2,2,5,9.43444629330034,10,5
113,2,0,Medium,16,69,1,1,3,6,9.74331103151655,7,5
114,3,1,Small,28,96,3,3,2,10,8.16414067036173,12,2
115,2,0,Small,16,66,1,1,3,6,6.05261961712901,2,5
116,2,0,Small,14,48,3,3,4,9,3.63949503824013,25,2
117,?,0,Big,43,193,5,5,21,29,8.50192729051806,243,0
118,2,0,Big,25,92,3,3,0,13,2.94348652677672,218,1
119,2,0,Medium,19,77,3,3,3,9,4.11749000651763,81,0
120,2,0,Medium,26,98,3,3,2,7,8.35707056400826,101,0
121,2,0,Medium,24,87,2,2,2,13,4.14085413581014,5,5
122,2,0,Medium,23,75,4,4,4,11,4.53562209509526,69,0
123,3,1,Medium,21,78,4,4,2,7,2.29441066358752,13,3
124,2,0,Medium,20,77,3,3,2,7,2.12221073196899,64,0
125,2,0,Small,30,105,2,2,3,12,3.60117442797878,10,2
126,3,1,Medium,23,90,4,4,2,7,2.81460045271047,19,4
127,2,0,Medium,33,111,3,3,9,14,0.865190698059793,61,0
128,2,0,Medium,19,69,2,2,2,16,8.79025499247769,16,3
129,2,0,Medium,23,73,4,4,4,12,7.94805624172328,4,3
130,2,0,Medium,17,68,3,3,2,7,2.38022215337357,18,3
131,2,0,Small,20,74,3,3,2,10,1.30151558893359,12,0
132,3,1,Medium,34,111,4,4,2,10,0.235727935888665,20,1
133,2,0,Big,24,82,3,3,5,12,2.40760230186588,280,0
134,2,0,Big,22,77,3,3,3,8,2.58972906337359,39,4
135,2,0,Medium,18,67,3,3,3,8,9.0954179274422,2,4
136,2,0,Big,17,63,3,3,2,8,4.12644131642605,6003,2
137,2,0,Medium,27,89,4,4,7,14,0.325987544860237,143,0
138,2,0,Medium,42,150,4,4,0,23,0.8848707110227,7,3
139,2,0,Medium,26,94,3,3,2,11,0.348020304714111,35,3
140,2,0,Medium,20,63,2,2,3,15,9.65840140975277,100,2
141,2,0,Small,26,93,4,4,10,16,4.71242696278202,20,2
142,2,0,Small,30,104,3,3,4,25,9.44027490002089,18,2
143,2,0,Medium,28,94,3,3,4,14,2.16735235627262,25,5
144,2,0,Medium,18,65,3,3,3,8,7.97302216981677,17,3
145,2,0,Medium,18,77,3,3,2,7,2.30434607119963,5,1
146,2,0,Medium,19,67,3,3,3,8,2.9183718605176,106,0
147,2,0,Medium,38,148,4,4,2,8,4.6305430428358,6,5
148,2,0,Big,38,139,5,5,14,23,8.02401399273083,61,3
149,2,0,Small,23,82,3,3,3,9,8.31230779767884,9,0
150,3,1,Medium,28,108,4,4,2,7,1.48035218042507,12,0
151,2,0,Medium,22,87,3,3,3,9,2.2974735263768,15,1
152,2,0,Medium,20,78,3,3,3,8,0.111067186014922,45,1
153,2,0,Medium,31,113,3,3,5,15,1.56986121228938,180,2
154,2,0,Small,25,86,3,3,0,8,1.72962936833345,6,0
155,2,0,Small,14,48,2,2,4,11,4.66178009039931,4.62,2
156,2,0,Small,26,109,2,2,5,9,7.41606677101095,18,0
157,2,0,Medium,18,61,3,3,0,5,4.20451304701262,40,0
158,2,0,Small,23,75,2,2,2,18,3.98965094131867,28,2
159,3,1,Medium,29,99,4,4,2,8,7.81429186714424,14,0
160,2,0,Medium,34,106,4,4,0,19,5.93151055129582,13,1
161,2,0,Medium,20,76,2,2,2,11,0.406917325469938,1,5
162,2,0,Big,28,107,3,3,10,15,9.64751681433806,8484,2
163,2,0,Small,35,134,4,4,15,22,9.5728682491103,15,0
164,2,0,Small,18,55,2,2,4,7,8.14954852620987,6,2
165,2,0,Medium,16,70,1,1,3,6,5.78519753827304,5,5
166,2,0,Big,27,92,4,4,2,15,6.98416427754156,244,4
167,2,0,Medium,16,76,1,1,3,6,3.28372620394026,5,5
168,2,0,Medium,18,67,3,3,3,8,2.40206619021193,53,4
169,2,0,Medium,21,79,3,3,3,6,8.04767050036484,80,4
170,2,0,Medium,26,100,3,3,2,7,9.62879218442426,28,0
171,2,0,Medium,26,95,3,3,2,12,0.758431115861656,296,2
172,2,?,Medium,16,70,1,1,3,6,1.28096138721995,5,5
173,2,0,Small,30,107,3,3,10,13,9.02925290537022,3,5
174,2,0,Small,17,66,2,2,3,6,2.2869755565751,21,2
175,2,0,Big,20,85,3,3,2,8,7.89723462723923,326,0
176,2,0,Medium,20,79,3,3,3,9,0.343915171035732,40,0
177,2,0,Medium,40,156,3,3,7,17,2.27934498945153,46,2
178,2,0,Small,23,75,3,3,0,8,7.68747998732226,5,0
179,2,0,Big,21,76,3,3,2,7,2.38014381708296,11676,2
180,2,0,Big,23,82,2,2,2,19,9.64576083594339,99,3
181,2,0,Medium,28,104,3,3,5,9,9.77784063355607,4,5
182,2,0,Medium,22,86,2,2,2,11,1.48199020476465,4,5
